amount	   name   	price	produce Date	shelf life	introduction
1000	南方黑芝2	12.5	2012/12/12	2013/12/12     	一股浓香，一股温暖
1000	南方黑芝3	12.5	2012/12/12	2013/12/12     	一股浓香，一股温暖
1000	南方黑芝4	12.5	2012/12/12	2013/12/12     	一股浓香，一股温暖
1000	南方黑芝5	12.5	2012/12/12	2013/12/12     	一股浓香，一股温暖
1000	南方黑芝6	12.5	2012/12/12	2013/12/12     	一股浓香，一股温暖
1000	南方黑芝7	12.5	2012/12/12	2013/12/12     	一股浓香，一股温暖
1000	南方黑芝8	12.5	2012/12/12	2013/12/12     	一股浓香，一股温暖
1000	南方黑芝9	12.5	2012/12/12	2013/12/12     	一股浓香，一股温暖
1000	南方黑芝10	12.5	2012/12/12	2013/12/12     	一股浓香，一股温暖
1000	南方黑芝11	12.5	2012/12/12	2013/12/12     	一股浓香，一股温暖
1000	南方黑芝12	12.5	2012/12/12	2013/12/12     	一股浓香，一股温暖
1000	南方黑芝13	12.5	2012/12/12	2013/12/12     	一股浓香，一股温暖
1000	南方黑芝14	12.5	2012/12/12	2013/12/12     	一股浓香，一股温暖
1000	南方黑芝15	12.5	2012/12/12	2013/12/12     	一股浓香，一股温暖
1000	南方黑芝16	12.5	2012/12/12	2013/12/12     	一股浓香，一股温暖
1000	南方黑芝17	12.5	2012/12/12	2013/12/12     	一股浓香，一股温暖
1000	南方黑芝18	12.5	2012/12/12	2013/12/12     	一股浓香，一股温暖
1000	南方黑芝19	12.5	2012/12/12	2013/12/12     	一股浓香，一股温暖
1000	南方黑芝20	12.5	2012/12/12	2013/12/12     	一股浓香，一股温暖
1000	南方黑芝21	12.5	2012/12/12	2013/12/12     	一股浓香，一股温暖
1000	南方黑芝22	12.5	2012/12/12	2013/12/12     	一股浓香，一股温暖
1000	南方黑芝23	12.5	2012/12/12	2013/12/12     	一股浓香，一股温暖
1000	南方黑芝24	12.5	2012/12/12	2013/12/12     	一股浓香，一股温暖
1000	南方黑芝25	12.5	2012/12/12	2013/12/12     	一股浓香，一股温暖
1000	南方黑芝26	12.5	2012/12/12	2013/12/12     	一股浓香，一股温暖
1000	南方黑芝27	12.5	2012/12/12	2013/12/12     	一股浓香，一股温暖
1000	南方黑芝28	12.5	2012/12/12	2013/12/12     	一股浓香，一股温暖
1000	南方黑芝29	12.5	2012/12/12	2013/12/12     	一股浓香，一股温暖
1000	南方黑芝30	12.5	2012/12/12	2013/12/12     	一股浓香，一股温暖
1000	南方黑芝31	12.5	2012/12/12	2013/12/12     	一股浓香，一股温暖
1000	南方黑芝32	12.5	2012/12/12	2013/12/12     	一股浓香，一股温暖
1000	南方黑芝33	12.5	2012/12/12	2013/12/12     	一股浓香，一股温暖
125	罗娅	222	2012/12/12	1212/12/12     	22121212
1000	JVNV	12.5	2012/32/32	321/35/43     	ASFWFW
	     	
